"Date_UTC","Extent","IAGA","GEOLON","GEOLAT","MAGON","MAGLAT","MLT","MCOLAT","IGRF_DECL","SZA","dbn_nez","dbe_nez","dbz_nez","dbn_geo","dbe_geo","dbz_geo"
"2003-01-01T00:00:00",60,"CLK",285,44.7,2.1,54.97,18.97,35.03,-14.31,115.84,-2.6,0.8,8.2,-2.3,1.4,8.2
"2003-01-01T01:00:00",60,"CLK",285,44.7,2.1,54.97,20,35.03,-14.31,126.47,-5.6,1.5,7.9,-5.1,2.8,7.9
"2003-01-01T02:00:00",60,"CLK",285,44.7,2.1,54.97,21.08,35.03,-14.31,137,-3.9,-1.4,6.8,-4.1,-0.4,6.8
"2003-01-01T03:00:00",60,"CLK",285,44.7,2.1,54.97,22.19,35.03,-14.31,146.83,-5.3,-4.5,7.5,-6.3,-3.1,7.5
"2003-01-01T04:00:00",60,"CLK",285,44.7,2.1,54.97,23.28,35.03,-14.31,154.77,-2.2,9.1,6,0.1,9.4,6
"2003-01-01T05:00:00",60,"CLK",285,44.7,2.1,54.97,0.37,35.03,-14.31,158.33,-3.3,-8.1,7.6,-5.2,-7,7.6
"2003-01-01T06:00:00",60,"CLK",285,44.7,2.1,54.97,1.49,35.03,-14.31,155.43,-2.6,-4.3,6.9,-3.6,-3.5,6.9
"2003-01-01T07:00:00",60,"CLK",285,44.7,2.1,54.97,2.59,35.03,-14.31,147.82,-3.4,-7.6,7.4,-5.1,-6.5,7.4
"2003-01-01T08:00:00",60,"CLK",285,44.7,2.1,54.97,3.6,35.03,-14.31,138.11,5,7.1,-9.2,6.6,5.7,-9.2
"2003-01-01T09:00:00",60,"CLK",285,44.7,2.1,54.97,4.55,35.03,-14.31,127.62,5.3,-1.9,0.8,4.7,-3.2,0.8
"2003-01-01T10:00:00",60,"CLK",285,44.7,2.1,54.97,5.51,35.03,-14.31,116.98,10.5,-7.2,-4.3,8.4,-9.6,-4.3
"2003-01-01T11:00:00",60,"CLK",285,44.7,2.1,54.97,6.55,35.03,-14.31,106.54,9.9,-2.5,-2,9,-4.9,-2
"2003-01-01T12:00:00",60,"CLK",285,44.7,2.1,54.97,7.64,35.03,-14.31,96.61,6.3,-4.5,2.3,5,-5.9,2.3
"2003-01-01T13:00:00",60,"CLK",285,44.7,2.1,54.97,8.7,35.03,-14.31,87.5,2.9,-14.9,4,-0.9,-15.1,4
"2003-01-01T14:00:00",60,"CLK",285,44.7,2.1,54.97,9.71,35.03,-14.31,79.59,2.5,0,4.2,2.4,-0.6,4.2
"2003-01-01T15:00:00",60,"CLK",285,44.7,2.1,54.97,10.64,35.03,-14.31,73.34,6.2,-3.3,4,5.2,-4.8,4
"2003-01-01T16:00:00",60,"CLK",285,44.7,2.1,54.97,11.49,35.03,-14.31,69.24,-1.4,3.6,6.5,-0.4,3.9,6.5
"2003-01-01T17:00:00",60,"CLK",285,44.7,2.1,54.97,12.3,35.03,-14.31,67.7,-2.6,0.4,2.9,-2.4,1.1,2.9
"2003-01-01T18:00:00",60,"CLK",285,44.7,2.1,54.97,13.16,35.03,-14.31,68.91,0.4,-0.2,0,0.4,-0.3,0
"2003-01-01T19:00:00",60,"CLK",285,44.7,2.1,54.97,14.08,35.03,-14.31,72.72,0.9,2.5,2.7,1.5,2.2,2.7
"2003-01-01T20:00:00",60,"CLK",285,44.7,2.1,54.97,15.04,35.03,-14.31,78.74,2,2.8,4.7,2.6,2.2,4.7
"2003-01-01T21:00:00",60,"CLK",285,44.7,2.1,54.97,16.01,35.03,-14.31,86.48,-4.5,4.2,1.7,-3.3,5.1,1.7
"2003-01-01T22:00:00",60,"CLK",285,44.7,2.1,54.97,16.99,35.03,-14.31,95.47,-6.8,7.1,1.9,-4.8,8.5,1.9
"2003-01-01T23:00:00",60,"CLK",285,44.7,2.1,54.97,17.97,35.03,-14.31,105.32,-7.3,4.3,5.6,-6,6,5.6
"2003-01-02T00:00:00",60,"CLK",285,44.7,2.1,54.97,18.97,35.03,-14.31,115.71,-12,3.3,5.7,-10.9,6.2,5.7
"2003-01-02T01:00:00",60,"CLK",285,44.7,2.1,54.97,19.99,35.03,-14.31,126.34,NA,NA,NA,NA,NA,NA
"2003-01-02T02:00:00",60,"CLK",285,44.7,2.1,54.97,21.08,35.03,-14.31,136.86,NA,NA,NA,NA,NA,NA
"2003-01-02T03:00:00",60,"CLK",285,44.7,2.1,54.97,22.18,35.03,-14.31,146.7,NA,NA,NA,NA,NA,NA
"2003-01-02T04:00:00",60,"CLK",285,44.7,2.1,54.97,23.27,35.03,-14.31,154.65,NA,NA,NA,NA,NA,NA
"2003-01-02T05:00:00",60,"CLK",285,44.7,2.1,54.97,0.36,35.03,-14.31,158.24,NA,NA,NA,NA,NA,NA
"2003-01-02T06:00:00",60,"CLK",285,44.7,2.1,54.97,1.48,35.03,-14.31,155.4,NA,NA,NA,NA,NA,NA
"2003-01-02T07:00:00",60,"CLK",285,44.7,2.1,54.97,2.58,35.03,-14.31,147.83,NA,NA,NA,NA,NA,NA
"2003-01-02T08:00:00",60,"CLK",285,44.7,2.1,54.97,3.59,35.03,-14.31,138.13,NA,NA,NA,NA,NA,NA
"2003-01-02T09:00:00",60,"CLK",285,44.7,2.1,54.97,4.54,35.03,-14.31,127.65,NA,NA,NA,NA,NA,NA
"2003-01-02T10:00:00",60,"CLK",285,44.7,2.1,54.97,5.5,35.03,-14.31,117.01,NA,NA,NA,NA,NA,NA
"2003-01-02T11:00:00",60,"CLK",285,44.7,2.1,54.97,6.54,35.03,-14.31,106.57,NA,NA,NA,NA,NA,NA
"2003-01-02T12:00:00",60,"CLK",285,44.7,2.1,54.97,7.63,35.03,-14.31,96.62,NA,NA,NA,NA,NA,NA
"2003-01-02T13:00:00",60,"CLK",285,44.7,2.1,54.97,8.69,35.03,-14.31,87.5,NA,NA,NA,NA,NA,NA
"2003-01-02T14:00:00",60,"CLK",285,44.7,2.1,54.97,9.7,35.03,-14.31,79.57,NA,NA,NA,NA,NA,NA
"2003-01-02T15:00:00",60,"CLK",285,44.7,2.1,54.97,10.63,35.03,-14.31,73.3,NA,NA,NA,NA,NA,NA
"2003-01-02T16:00:00",60,"CLK",285,44.7,2.1,54.97,11.48,35.03,-14.31,69.17,NA,NA,NA,NA,NA,NA
"2003-01-02T17:00:00",60,"CLK",285,44.7,2.1,54.97,12.3,35.03,-14.31,67.61,NA,NA,NA,NA,NA,NA
"2003-01-02T18:00:00",60,"CLK",285,44.7,2.1,54.97,13.15,35.03,-14.31,68.8,NA,NA,NA,NA,NA,NA
"2003-01-02T19:00:00",60,"CLK",285,44.7,2.1,54.97,14.08,35.03,-14.31,72.6,NA,NA,NA,NA,NA,NA
"2003-01-02T20:00:00",60,"CLK",285,44.7,2.1,54.97,15.04,35.03,-14.31,78.61,NA,NA,NA,NA,NA,NA
"2003-01-02T21:00:00",60,"CLK",285,44.7,2.1,54.97,16.01,35.03,-14.31,86.34,NA,NA,NA,NA,NA,NA
"2003-01-02T22:00:00",60,"CLK",285,44.7,2.1,54.97,16.98,35.03,-14.31,95.33,NA,NA,NA,NA,NA,NA
"2003-01-02T23:00:00",60,"CLK",285,44.7,2.1,54.97,17.97,35.03,-14.31,105.18,NA,NA,NA,NA,NA,NA
"2003-01-03T00:00:00",60,"CLK",285,44.7,2.1,54.97,18.96,35.03,-14.31,115.57,-6.9,2.1,2,-6.1,3.7,2
"2003-01-03T01:00:00",60,"CLK",285,44.7,2.1,54.97,19.99,35.03,-14.31,126.2,-3.6,8.2,2.1,-1.4,8.9,2.1
"2003-01-03T02:00:00",60,"CLK",285,44.7,2.1,54.97,21.07,35.03,-14.31,136.72,-3,7,2.5,-1.2,7.6,2.5
"2003-01-03T03:00:00",60,"CLK",285,44.7,2.1,54.97,22.17,35.03,-14.31,146.56,-0.7,4.9,2.9,0.6,4.9,2.9
"2003-01-03T04:00:00",60,"CLK",285,44.7,2.1,54.97,23.26,35.03,-14.31,154.52,0.8,2.8,3,1.5,2.5,3
"2003-01-03T05:00:00",60,"CLK",285,44.7,2.1,54.97,0.35,35.03,-14.31,158.15,-2.2,2.4,3.8,-1.6,2.9,3.8
"2003-01-03T06:00:00",60,"CLK",285,44.7,2.1,54.97,1.47,35.03,-14.31,155.36,-1.6,7.9,2.4,0.4,8,2.4
"2003-01-03T07:00:00",60,"CLK",285,44.7,2.1,54.97,2.57,35.03,-14.31,147.83,7.1,3.3,1.2,7.7,1.5,1.2
"2003-01-03T08:00:00",60,"CLK",285,44.7,2.1,54.97,3.58,35.03,-14.31,138.15,12.6,1.2,0.7,12.5,-2,0.7
"2003-01-03T09:00:00",60,"CLK",285,44.7,2.1,54.97,4.53,35.03,-14.31,127.68,11.3,10.4,-3.9,13.5,7.3,-3.9
"2003-01-03T10:00:00",60,"CLK",285,44.7,2.1,54.97,5.49,35.03,-14.31,117.03,8.7,2.2,-2.1,9,0,-2.1
"2003-01-03T11:00:00",60,"CLK",285,44.7,2.1,54.97,6.53,35.03,-14.31,106.58,10.8,6.2,-1.3,12,3.4,-1.3
"2003-01-03T12:00:00",60,"CLK",285,44.7,2.1,54.97,7.62,35.03,-14.31,96.63,5.1,4.2,-0.1,6,2.8,-0.1
"2003-01-03T13:00:00",60,"CLK",285,44.7,2.1,54.97,8.68,35.03,-14.31,87.49,4.3,5.4,3.8,5.5,4.1,3.8
"2003-01-03T14:00:00",60,"CLK",285,44.7,2.1,54.97,9.69,35.03,-14.31,79.55,9.4,9.3,5.7,11.5,6.7,5.7
"2003-01-03T15:00:00",60,"CLK",285,44.7,2.1,54.97,10.62,35.03,-14.31,73.25,10.2,14.9,3.4,13.6,11.9,3.4
"2003-01-03T16:00:00",60,"CLK",285,44.7,2.1,54.97,11.47,35.03,-14.31,69.1,-9.1,13.7,-0.4,-5.4,15.5,-0.4
"2003-01-03T17:00:00",60,"CLK",285,44.7,2.1,54.97,12.29,35.03,-14.31,67.52,-45.3,-11.2,7.3,-46.6,0.4,7.3
"2003-01-03T18:00:00",60,"CLK",285,44.7,2.1,54.97,13.15,35.03,-14.31,68.69,-23,2.4,1.9,-21.7,8,1.9
"2003-01-03T19:00:00",60,"CLK",285,44.7,2.1,54.97,14.07,35.03,-14.31,72.48,-12.2,2.2,1.8,-11.3,5.1,1.8
"2003-01-03T20:00:00",60,"CLK",285,44.7,2.1,54.97,15.03,35.03,-14.31,78.48,-28.7,-4.8,0.5,-29,2.5,0.5
"2003-01-03T21:00:00",60,"CLK",285,44.7,2.1,54.97,16,35.03,-14.31,86.2,-12.9,-12.1,17.7,-15.5,-8.5,17.7
"2003-01-03T22:00:00",60,"CLK",285,44.7,2.1,54.97,16.98,35.03,-14.31,95.19,-19.3,-13.9,19.6,-22.2,-8.7,19.6
"2003-01-03T23:00:00",60,"CLK",285,44.7,2.1,54.97,17.96,35.03,-14.31,105.03,-28.4,-28.1,26.7,-34.5,-20.2,26.7
"2003-01-04T00:00:00",60,"CLK",285,44.7,2.1,54.97,18.96,35.03,-14.31,115.42,-28.5,5.2,34.3,-26.3,12.1,34.3
"2003-01-04T01:00:00",60,"CLK",285,44.7,2.1,54.97,19.98,35.03,-14.31,126.06,-50.7,9.5,39.6,-46.8,21.7,39.6
"2003-01-04T02:00:00",60,"CLK",285,44.7,2.1,54.97,21.06,35.03,-14.31,136.58,-27.9,23.7,36.2,-21.2,29.9,36.2
"2003-01-04T03:00:00",60,"CLK",285,44.7,2.1,54.97,22.17,35.03,-14.31,146.42,-32.6,13,34.8,-28.4,20.7,34.8
"2003-01-04T04:00:00",60,"CLK",285,44.7,2.1,54.97,23.25,35.03,-14.31,154.38,-10.6,6.4,18.3,-8.7,8.8,18.3
"2003-01-04T05:00:00",60,"CLK",285,44.7,2.1,54.97,0.34,35.03,-14.31,158.04,1.2,25.4,14.2,7.4,24.3,14.2
"2003-01-04T06:00:00",60,"CLK",285,44.7,2.1,54.97,1.46,35.03,-14.31,155.31,-9.3,6.6,9.3,-7.4,8.7,9.3
